,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.7903974
1,NN1,0,balanced_accuracy,0.7595732
2,NN1,0,precision,0.79001534
3,NN1,0,sensitivity,0.7903974
4,NN1,0,f1_score,0.78694963
5,NN1,0,mcc,0.6742047
6,NN2,0,simple_accuracy,0.48156273
7,NN2,0,balanced_accuracy,0.25
8,NN2,0,precision,0.23190267
9,NN2,0,sensitivity,0.48156273
10,NN2,0,f1_score,0.31305143
11,NN2,0,mcc,0.0
12,NN3,0,simple_accuracy,0.48156273
13,NN3,0,balanced_accuracy,0.25
14,NN3,0,precision,0.23190267
15,NN3,0,sensitivity,0.48156273
16,NN3,0,f1_score,0.31305143
17,NN3,0,mcc,0.0
